id,user_id,platform,visibility,language,created_at,text,edge_case,metadata_json
febce85b-54ef-4eeb-b817-d6f7de2f04d6,u999,twitter,public,en,2021-09-01T15:00:00Z,"Someone DM'd me ""you're an idiot"". Not okay.",quote_plus_toxicity_mild,"{""synthetic"": true, ""source"": ""edge_case_set""}"
3a216d41-1889-463d-819a-6d5af4e32164,u999,facebook,public,en,2018-07-10T20:05:00Z,Summer vibes: corona with lime on the balcony 🍻,trend_term_multiple_meanings_corona_beer,"{""synthetic"": true, ""source"": ""edge_case_set""}"
799f87f7-13a8-424f-bc26-803a937a1bf5,u999,twitter,public,en,2015-06-10T16:10:00Z,That exam absolutely killed me 😅 (figuratively!),violence_figurative,"{""synthetic"": true, ""source"": ""edge_case_set""}"
1214f57e-ebac-4822-aaf8-a7c0e0c28acd,u999,forum,public,en,2020-03-15T11:30:00Z,Reading about coronavirus updates again — hope the outbreak slows down.,ambiguous_term_corona_pandemic,"{""synthetic"": true, ""source"": ""edge_case_set""}"
cac1bba4-d116-4808-8a8f-e201f51aa3a3,u999,blog,public,en,2019-11-12T09:15:00Z,"Sure, increasing taxes will *definitely* make everything better... /s",sarcasm_irony,"{""synthetic"": true, ""source"": ""edge_case_set""}"
d9449d0b-0f24-4176-b89a-63dbb4d6800d,u999,twitter,public,en,2018-05-03T18:22:00Z,"He said ""all politicians are corrupt"" — I disagree, but it's everywhere online.",quoting_someone,"{""synthetic"": true, ""source"": ""edge_case_set""}"
e274d174-476a-447a-b895-7a1ba7c0a5db,u999,blog,public,en,2022-01-20T10:00:00Z,"Conservative estimate: this refactor will take 2 days, not 2 hours.",politics_term_brand_context,"{""synthetic"": true, ""source"": ""edge_case_set""}"
ddd021c2-b276-4696-9326-671d44a2970c,u999,twitter,public,en,2024-10-05T08:00:00Z,AI chatbots should have better age verification. Online safety matters.,online_safety_trend,"{""synthetic"": true, ""source"": ""edge_case_set""}"
b43d653e-4b95-449e-9489-352177accb3c,u999,twitter,public,en,2017-08-19T07:40:00Z,Big shoot tomorrow for the product photos. Need to book a studio.,ambiguous_term_shoot_photography,"{""synthetic"": true, ""source"": ""edge_case_set""}"
7e08380a-70de-4375-afda-7ca31ae4b44f,u999,linkedin,public,en,2016-02-14T02:10:00Z,Long night. The labour pains are intense — heading to the hospital.,political_term_non_political,"{""synthetic"": true, ""source"": ""edge_case_set""}"
